Symbol,Last,Volume,Time,%Chg,"Market Cap","P/E ttm","52W %Chg"
AAN,24.49,119500,2021-12-23,-0.16%,771018000,6.27,+46.21%
AAON,78.57,239600,2021-12-23,-0.04%,4119268000,59.55,+20.49%
AAT,36.36,386500,2021-12-23,+0.06%,2198762000,19.43,+29.35%
AAWW,91.95,262700,2021-12-23,+0.58%,2669124000,5.62,+64.93%
ABCB,49.21,164900,2021-12-23,+0.74%,3426739000,8.75,+31.12%
ABG,164.42,131700,2021-12-23,+0.50%,3804020000,6.74,+17.62%
ABM,41.53,417000,2021-12-23,+1.57%,2792518000,11.42,+8.72%
ABOS,7.07,141800,2021-12-23,+0.43%,286123000,0,N/A
ABR,18.12,1090100,2021-12-23,+0.89%,2591287000,9.55,+28.42%
ABSI,8.67,352600,2021-12-23,-1.59%,802764000,0,N/A
ABTX,41.92,33700,2021-12-23,+0.55%,848754000,11.24,+24.32%
ABUS,4.16,4364100,2021-12-23,0.00%,562719000,0,+2.72%
AC,44.95,2200,2021-12-23,+1.01%,991507000,9.82,+23.56%
ACA,51.89,94500,2021-12-23,+0.31%,2507844000,27.96,-4.86%
ACAD,24.3,2036200,2021-12-23,+1.59%,3906371000,0,-55.89%
ACBI,28.33,66800,2021-12-23,+1.65%,575241000,11.81,+80.56%
ACCD,26.31,657100,2021-12-23,+4.86%,1753930000,0,-52.19%
ACCO,8.05,495600,2021-12-23,+0.37%,770635000,6.8,-5.07%
ACEL,13.19,255100,2021-12-23,+1.31%,1240744000,25.53,+22.47%
ACET,15.92,196600,2021-12-23,+1.66%,508723000,0,+11.25%
ACIW,34.92,516900,2021-12-23,+0.75%,4105405000,24.94,-8.13%
ACLS,68.08,275800,2021-12-23,+1.96%,2267881000,30.91,+136.72%
ACRE,14.75,306700,2021-12-23,+0.34%,693279000,9.8,+20.41%
ACRS,15.44,181100,2021-12-23,+1.11%,945345000,0,+103.69%
ACTG,5.23,187000,2021-12-23,+0.19%,259366000,0,+27.25%
ADC,68.66,407300,2021-12-23,+0.39%,4791095000,19.77,+6.65%
ADGI,8.66,4656800,2021-12-23,-2.81%,963442000,0,N/A
ADN,7.28,209600,2021-12-23,-1.36%,373129000,0,-52.11%
ADNT,46.87,416700,2021-12-23,+2.90%,4423496000,21.79,+33.91%
ADTN,22.01,293600,2021-12-23,+1.48%,1071447000,83.42,+46.54%
ADUS,93.31,47300,2021-12-23,+2.12%,1486148000,31.29,-18.87%
ADV,7.82,504700,2021-12-23,+3.85%,2491249000,0,-42.07%
ADVM,1.87,893200,2021-12-23,+1.08%,183544000,0,-85.03%
AEIS,89.05,114900,2021-12-23,+0.98%,3354513000,19.13,-8.37%
AEL,38.56,159400,2021-12-23,+0.68%,3567340000,10.52,+39.61%
AEO,23.25,2558400,2021-12-23,+0.91%,3920461000,10.33,+15.04%
AERI,8.52,815100,2021-12-23,+2.90%,403490000,0,-41.20%
AEVA,8.37,1334000,2021-12-23,+2.95%,1791247000,0,-53.91%
AFCG,21.62,213000,2021-12-23,+3.00%,355498000,0,N/A
AFIB,3.59,232700,2021-12-23,+3.76%,100351000,0,-88.46%
AFIN,8.8,534500,2021-12-23,-0.11%,1086853000,8.47,+15.79%
AFMD,5.91,616000,2021-12-23,+3.50%,580876000,0,-9.29%
AGEN,3.58,2923400,2021-12-23,+1.99%,919455000,0,+2.87%
AGIO,35.83,423100,2021-12-23,+2.17%,1945856000,0,-18.22%
AGLE,4.21,149600,2021-12-23,+0.24%,207637000,0,-49.82%
AGM,120.67,16800,2021-12-23,+0.66%,1299132000,11.8,+61.86%
AGS,6.79,86300,2021-12-23,+2.72%,250748000,0,+0.30%
